STRUCTURE,STRUCTURE_ID,ACTION,FREQ:Frequency,REF_AREA:Reference area,UNIT_MEASURE:Unit of measure,TIME_PERIOD:Time period or range,OBS_VALUE:Observation Value,UNIT_MULT:Unit Multiplier,TIME_FORMAT:Time Format,BREAKS:Breaks,COVERAGE:Coverage,DECIMALS:Decimals,TITLE_TS:Title (tseries level),OBS_CONF:Observation confidentiality,OBS_PRE_BREAK:Pre-Break Observation,OBS_STATUS:Observation Status
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1923,NaN,0: Units,,,,,,F: Free,,M: Missing value; data cannot exist
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1924,13.658749,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1925,14.834668,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1926,14.925123,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1927,15.467855,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1928,15.920131,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1929,16.101042,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1930,15.55831,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1931,14.291936,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1932,12.663741,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1933,12.392375,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1934,12.663741,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1935,12.935107,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1936,13.025562,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1937,13.116017,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1938,13.206473,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1939,13.206473,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1940,13.658749,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1941,13.930115,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1942,14.291936,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1943,14.563302,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1944,14.834668,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1945,15.196489,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1946,16.553318,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1947,17.729237,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1948,18.63379,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1949,21.890181,0: Units,,,,,,F: Free,,A: Normal value
