datestr,daten,EXPGS,IMPGS,NETFI,GDP
1955-10-01,01oct1955,18.349001,18.108999,.42699999,437.09201
1956-01-01,01jan1956,19.365,18.924999,.94300002,439.746
1956-04-01,01apr1956,20.882,18.973,2.2309999,446.01001
1956-07-01,01jul1956,21.822001,19.253,3.023,451.19101
1956-10-01,01oct1956,23.068001,18.541,4.5310001,460.46301
1957-01-01,01jan1957,24.919001,20.1,5.5560002,469.77899
1957-04-01,01apr1957,24.368999,20.27,4.8060002,472.02499
1957-07-01,01jul1957,23.759001,19.761999,4.914,479.48999
1957-10-01,01oct1957,23.021999,19.634001,3.5940001,474.86401
1958-01-01,01jan1958,20.534,19.455,1.477,467.54001
1958-04-01,01apr1958,20.546,20.075001,.82099998,471.978
1958-07-01,01jul1958,20.594999,19.739,1.049,485.841
1958-10-01,01oct1958,20.563,20.823,-.14300001,499.55499
1959-01-01,01jan1959,21.915001,21.396,-1.41,510.32999
1959-04-01,01apr1959,21.775999,22.544001,-2.888,522.65302
1959-07-01,01jul1959,24.079,22.868,.033,525.034
1959-10-01,01oct1959,23.131001,22.504,-.82300001,528.59998
1960-01-01,01jan1960,26.145,23.288,1.865,542.64801
1960-04-01,01apr1960,26.85,23.455,1.723,541.08002
1960-07-01,01jul1960,27.561001,22.879,4.2140002,545.604
1960-10-01,01oct1960,27.622,21.742001,4.8839998,540.19702
1961-01-01,01jan1961,27.559999,21.658001,5.4380002,545.01801
1961-04-01,01apr1961,26.627001,21.899,3.211,555.54498
1961-07-01,01jul1961,27.778999,23.326,4.303,567.664
1961-10-01,01oct1961,28.441999,23.870001,3.901,580.612
1962-01-01,01jan1962,28.325001,24.313999,3.1110001,594.013
1962-04-01,01apr1962,29.662001,24.884001,3.7449999,600.36603
1962-07-01,01jul1962,29.593,25.111,4.7729998,609.02698
1962-10-01,01oct1962,28.683001,25.549999,3.5669999,612.28003
1963-01-01,01jan1963,29.160999,25.184999,3.971,621.672
1963-04-01,01apr1963,31.448,25.889999,4.3429999,629.75201
1963-07-01,01jul1963,31.215,26.704,5.2210002,644.44397
1963-10-01,01oct1963,32.473999,26.764,6.2519999,653.93799
1964-01-01,01jan1964,34.192001,26.978001,8.191,669.82202
1964-04-01,01apr1964,34.029999,27.726,5.9759998,678.67401
1964-07-01,01jul1964,35.375,28.429001,8.1300001,692.03101
1964-10-01,01oct1964,36.48,29.285,7.573,697.31897
1965-01-01,01jan1965,32.969002,28.457001,5.6589999,717.78998
1965-04-01,01apr1965,38.367001,31.679001,6.2690001,730.19098
1965-07-01,01jul1965,37.550999,32.029999,6.5700002,749.323
1965-10-01,01oct1965,39.698002,33.948002,6.1329999,771.85699
1966-01-01,01jan1966,39.355999,34.990002,4.6329999,795.73401
1966-04-01,01apr1966,40.872002,36.240002,3.316,804.98102
1966-07-01,01jul1966,40.856998,38.171001,3.2019999,819.638
1966-10-01,01oct1966,42.594002,38.828999,4.0840001,833.302
1967-01-01,01jan1967,43.886002,39.431999,4.2620001,844.16998
1967-04-01,01apr1967,43.238998,39.02,3.2550001,848.98297
1967-07-01,01jul1967,42.845001,39.542999,3.5829999,865.23297
1967-10-01,01oct1967,43.896,41.652,2.832,881.43903
1968-01-01,01jan1968,45.452,44.398998,1.6109999,909.38702
1968-04-01,01apr1968,47.165001,45.416,2.0250001,934.34399
1968-07-01,01jul1968,49.890999,48.240002,1.834,950.82501
1968-10-01,01oct1968,49.116001,48.169998,.66000003,968.03003
1969-01-01,01jan1969,44.042,43.804001,1.673,993.33698
1969-04-01,01apr1969,53.775002,52.671001,.505,1009.02
1969-07-01,01jul1969,53.596001,52.365002,1.707,1029.9561
1969-10-01,01oct1969,56.275002,53.125999,2.53,1038.147
1970-01-01,01jan1970,57.030998,53.516998,3.9089999,1051.2
1970-04-01,01apr1970,60.410999,55.203999,5.0479999,1067.375
1970-07-01,01jul1970,60.519001,56.431,3.7360001,1086.059
1970-10-01,01oct1970,60.873001,57.888,2.201,1088.608
1971-01-01,01jan1971,63.221001,58.651001,4.4879999,1135.156
1971-04-01,01apr1971,62.894001,63.296001,-.138,1156.271
1971-07-01,01jul1971,65.717003,65.482002,-.02,1177.675
1971-10-01,01oct1971,60.019001,61.938999,-3.0840001,1190.297
1972-01-01,01jan1972,68.639,72.172997,-5.0310001,1230.609
1972-04-01,01apr1972,67.152,71.408997,-4.7540002,1266.369
1972-07-01,01jul1972,71.453003,74.089996,-3.599,1290.566
1972-10-01,01oct1972,76.128998,79.190002,-2.7820001,1328.9041
1973-01-01,01jan1973,83.959,85.360001,2.2060001,1377.49
1973-04-01,01apr1973,91.922997,89.468002,5.408,1413.887
1973-07-01,01jul1973,97.575996,91.139,12.474,1433.838
1973-10-01,01oct1973,107.62,98.668999,15.358,1476.2889
1974-01-01,01jan1974,116.709,110.315,16.517,1491.209
1974-04-01,01apr1974,126.668,129.382,2.6630001,1530.056
1974-07-01,01jul1974,126.638,133.61,.30899999,1560.026
1974-10-01,01oct1974,136.58501,136.552,4.3920002,1599.679
1975-01-01,01jan1975,141.369,124.888,17.889,1616.116
1975-04-01,01apr1975,136.827,115.245,21.454,1651.853
1975-07-01,01jul1975,134.09801,122.055,18.389,1709.8199
1975-10-01,01oct1975,142.53101,128.73,21.622999,1761.8311
1976-01-01,01jan1976,143.588,138.938,13.152,1820.4871
1976-04-01,01apr1976,146.621,147.116,8.993,1852.332
1976-07-01,01jul1976,151.77499,155.84801,2.4059999,1886.558
1976-10-01,01oct1976,156.076,162.67999,3.826,1934.2729
1977-01-01,01jan1977,155.354,176.433,-8.0220003,1988.6479
1977-04-01,01apr1977,161.90601,183.04201,-8.8430004,2055.9089
1977-07-01,01jul1977,162.325,182.90401,-7.8579998,2118.4729
1977-10-01,01oct1977,157.80901,187.39101,-18.933001,2164.27
1978-01-01,01jan1978,164.601,203.282,-25.007999,2202.76
1978-04-01,01apr1978,186.215,208.84,-12.855,2331.6331
1978-07-01,01jul1978,191.302,215.062,-11.386,2395.053
1978-10-01,01oct1978,205.41499,221.815,-1.261,2476.949
1979-01-01,01jan1979,211.66901,229.828,-1.811,2526.6101
1979-04-01,01apr1979,220.908,243.097,-2.698,2591.2471
1979-07-01,01jul1979,234.27699,257.306,2.4330001,2667.5649
1979-10-01,01oct1979,253.664,280.466,-2.5880001,2723.8831
