name,value_DEU,value_JPN
sigma,2,2
rho,.05,.05
y,.7902151346206665,.7764805555343628
y_star,.2097848802804947,.2235194593667984
c,.7902151346206665,.7764805555343628
c_star,.2097848802804947,.2235194593667984
theta,.040086913121003,.040086913121003
theta_star,-.0110423879473057,-.0153954375418567
dh0_over_c,.0579468682408333,.0579468682408333
df0_over_cstar,.0792731270194054,.0590304471552372
mbar_h_gstar_attack73,.0209407836294917,.014327565096247
mbar_h_gstar_attack71,.0113345280573066,.0098755722948122
mbar_h_gstar_prev,.0094515721626692,.0058589647841943
fxres_attack73,158,158
fxres_attack71,136,139
fxres_prev_date,135,138
m_h0_over_y,.0718962028622627,.0718962028622627
m_f0star_over_ystar,.1313793014729945,.0729156538849115
m_f0star_over_ystar_raw,.1554924696683884,.0784415602684021
g_f0,.0241131681953939,.0055259063834906
mbar_h_gstar_attack73_trend,.0162532204001697,.0108029930787896
mbar_h_gstar_attack71_trend,.0123109922347153,.0102181405664928
mbar_h_gstar_prev_trend,.0104238326000511,.0061640206364865
fwd_h_gstar_attack71_trend,.0024520271422476,
